JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Bulgaria,Revenue types or categories for which the tax administration has responsibility-Non-tax revenue,Units,Yes,Yes,Yes,Yes,Yes,Yes
Cabo Verde,Formal set of service delivery standards - produced,Units,,,,,"Produced, not published",
Dominica,External review mechanisms for dealing with complaints exist,Units,,,,,No,
São Tomé and Príncipe,Broad nature of structural reforms implemented - Internal redesign,Units,,,,,"Internal redesign (e.g., from ‘tax type’ to function from ‘function’ to ‘taxpayer segment’)",
"Armenia, Republic of",Administration has authority to - decide skills and qualifications required for appointment or promotion,Units,,,,,Yes,
Sierra Leone,Use of random audits - Test compliance in targetted sectors,Units,,,,,Yes,
Switzerland,Administration has authority to - decide skills and qualifications required for appointment or promotion,Units,,,,,Yes,
Cameroon,Other roles - Population register,Units,,,,,No,
Eswatini,Remuneration - performance is linked to pay and reward,Units,,,,,Yes,
Colombia,Authority of the administration - Design its own internal structure,Units,,,,,No,
Thailand,Features of the service approach - Telephone services provided in non-official languages,Units,,,,,No,
Guinea Bissau,Process allows for systemic issues to be raised - Internal,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Online services provided - Secure communication with taxpayers - channels used - Messaging,Units,,,,,Messaging,
Guinea Bissau,Business taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,No,
Mozambique,Formal diversity policy exists,Units,,,,,Yes,
Cabo Verde,"Administration has systems for importing, storing and managing third-party data - Data from stock exchanges",Units,,,,,No,
Republika Srpska,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
Lao People's Democratic Republic,Online services provided - Uploading data files onto the tax administration’s system,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Online services provided - Uploading data files onto the tax administration’s system,Units,,,,,Yes,
Bhutan,Use of random audits -  Produce tax gap estimates,Units,,,,,Yes,
Cabo Verde,Availability of specific powers in legislation / regulation to assist in collecting tax arrears,Units,,,,,Yes,
Brazil,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Mozambique,Performance management system - includes individual development plans,Units,,,,,Yes,
El Salvador,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
France,External review mechanisms for dealing with complaints exist,Units,,,,,Yes,
Cook Islands,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Norway,Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,Yes,
Madagascar,Administration uses service channel usage statistics to - Create new/improved services,Units,,,,,No,
Lithuania,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under administrative review,Units,,,,,Power does not exist,
Mozambique,Administration has authority to - place staff within a salary range,Units,,,,,No,
Botswana,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Angola,Training strategy - Specific training plan exists,Units,,,,,Yes,
Australia,"Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,Yes,
Guinea Bissau,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - Results published,Units,,,,,No,
Lithuania,Tax arrears collection powers and their usage - Require businesses to obtain a tax clearance certificate when bidding for government contracts,Units,,,,,Frequently used power,
Switzerland,Staff can work from home/elsewhere regularly,Units,,,,,Yes,
Malaysia,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - Results published,Units,,,,,No,
Cabo Verde,Tax arrears collection powers and their usage - Formulate payment arrangements,Units,,,,,Frequently used power,
Malawi,Tax arrears collection powers and their usage - Withhold payments owing to a delinquent taxpayer by the government,Units,,,,,Infrequently used power,
Equatorial Guinea,Features of the service approach - Material provided on the website in non-offical languages,Units,,,,,No,
Czech Republic,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
"China, P.R.: Hong Kong",Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Austria,Training strategy exists,Units,,,,,Yes,
Belarus,Formal diversity policy exists,Units,,,,,Yes,
Kenya,"Formal approach for identifying, assessing and prioritizing key compliance risks exists in relation to: Return filing",Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Types of income generally subject to tax withholding at source – Interest,Units,,,,,Yes,
Madagascar,Features of the service approach - Material provided on the website in non-offical languages,Units,,,,,No,
Montenegro,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Very challenging,
Tonga,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Norway,Online services provided - Secure communication with taxpayers - channels used - Messaging,Units,,,,,Messaging,
Malawi,E-payment mandatory - CIT,Units,,,,,No,
Australia,Administration evaluates taxpayer compliance burden - compliance burden monitored for different taxpayer segments,Units,,,,,Yes,
Madagascar,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - Results published,Units,,,,,No,
Norway,Online services provided - Uploading data files onto the tax administration’s system,Units,,,,,Yes,
Ukraine,Business taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
Kenya,Business taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
Ukraine,Private rulings provided to taxpayers - rulings binding on the administration,Units,,,,,Yes,
Senegal,Administration has standards for auditor productivity,Units,,,,,No,
Brazil,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Nigeria,Formal diversity policy exists,Units,,,,,Yes,
Senegal,"Compiance risk management strategy includes formal approach for identifying, assessing and prioritizing key compliance risks",Units,,,,,Yes,
Equatorial Guinea,Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,No,
Central African Republic,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Jamaica,"Administration has systems for importing, storing and managing third-party data - Data from the Social Security Agency",Units,,,,,Yes,
Equatorial Guinea,Types of income generally subject to tax withholding at source – Proceeds of sales / purchases of real estate,Units,,,,,Yes,
Nauru,"Types of income generally subject to reporting of individual payment details – Royalties, patents",Units,,,,,No,
Tajikistan,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
South Africa,Specific selection criteria - Selected by auditors based on their judgement and experience,Units,,,,,Yes,
Madagascar,Public rulings provided to taxpayers,Units,,,,,Yes,
Nicaragua,"Tax administration functions carried out by LTO or program-Audit, Investigation and other verifications",Units,Yes,Yes,Yes,Yes,,Yes
Greece,Tax arrears collection powers and their usage - Withhold payments owing to a delinquent taxpayer by the government,Units,,,,,Frequently used power,
"Timor-Leste, Dem. Rep. of",Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,No,
Lao People's Democratic Republic,Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,No,
"Serbia, Republic of",Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - Results published,Units,,,,,Yes,
Norway,Types of income generally subject to tax withholding at source – Interest,Units,,,,,Yes,
Guinea Bissau,"Administration has systems for importing, storing and managing third-party data - Data from the Social Security Agency",Units,,,,,No,
Ukraine,Types of income generally subject to tax withholding at source – Interest,Units,,,,,No,
Kenya,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
"Timor-Leste, Dem. Rep. of",External review mechanisms for dealing with complaints exist,Units,,,,,Yes,
Austria,Training strategy - Specific training plan exists,Units,,,,,Yes,
Kazakhstan,Formal diversity policy exists,Units,,,,,No,
Lesotho,Remuneration - performance is linked to pay and reward,Units,,,,,Yes,
Nigeria,Performance management system - includes individual development plans,Units,,,,,Yes,
Cook Islands,Tax gap - CIT - Periodic estimates produced,Units,,,,,Yes,
El Salvador,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
Papua New Guinea,Administration has authority to - determine whether work is carried out by permanent staff or contractually,Units,,,,,Yes,
"Serbia, Republic of",Process allows for systemic issues to be raised - Internal,Units,,,,,No,
Morocco,Educational or business support initiatives undertaken - Free tax services for new businesses,Units,,,,,Yes,
Equatorial Guinea,"Types of income generally subject to reporting of individual payment details – Royalties, patents",Units,,,,,No,
Taiwan,Public rulings provided to taxpayers,Units,,,,,Yes,
Cyprus,Remuneration - performance is linked to pay and reward,Units,,,,,No,
Netherlands,Administration has authority to - make appointments of new staff,Units,,,,,Yes,
Norway,Features of the service approach - Material provided on the website in non-offical languages,Units,,,,,Yes,
Samoa,Administration has authority to - decide on promotion of existing staff,Units,,,,,Yes,
Slovenia,Administration has authority to - make appointments of new staff,Units,,,,,Yes,
Lao People's Democratic Republic,Features of the service approach - Material provided on the website in non-offical languages,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Types of income generally subject to tax withholding at source – Proceeds of sales / purchases of real estate,Units,,,,,Yes,
France,Online services provided - Uploading data files onto the tax administration’s system,Units,,,,,Yes,
Grenada,Administration utilizes specialist skills - User Interface design,Units,,,,,No,
Kenya,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
Lao People's Democratic Republic,Types of income generally subject to reporting of individual payment details – Proceeds of sales / purchase of shares,Units,,,,,Yes,
France,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Kenya,Public rulings provided to taxpayers,Units,,,,,Yes,
"Serbia, Republic of",Business taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
El Salvador,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Cyprus,Administration has authority to - decide skills and qualifications required for appointment or promotion,Units,,,,,Yes,
Sierra Leone,Revenue types or categories for which the tax administration has responsibility-Income tax-Corporate and other entities,Units,Yes,Yes,Yes,Yes,Yes,Yes
Vietnam,Process allows for systemic issues to be raised - Internal,Units,,,,,No,
Sierra Leone,Revenue types or categories for which the tax administration has responsibility-Non-tax revenue,Units,Yes,Yes,Yes,Yes,Yes,Yes
Gabon,Broad nature of structural reforms implemented - Internal redesign,Units,,,,,"Internal redesign (e.g., from ‘tax type’ to function from ‘function’ to ‘taxpayer segment’)",
Rwanda,Significant structural reforms implemented,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of","Types of income generally subject to reporting of individual payment details – Royalties, patents",Units,,,,,Yes,
Equatorial Guinea,Types of income generally subject to reporting of individual payment details – Proceeds of sales / purchase of shares,Units,,,,,Yes,
Brazil,Tax gap - CIT - Periodic estimates produced,Units,,,,,Yes,
Sweden,Revenue types or categories for which the tax administration has responsibility-Non-tax revenue,Units,,,,Yes,Yes,Yes
Papua New Guinea,Interventions undertaken after return filing but before audit - Requesting further information,Units,,,,,Yes,
Australia,Training strategy - Formal training cycle process exists,Units,,,,,Yes,
Gabon,Annual business/operational plan - produced,Units,,,,,"Produced, not published",
Lesotho,Performance management system  - includes specific objectives for staff,Units,,,,,Yes,
Fiji,Administration has authority to - make appointments of new staff,Units,,,,,Yes,
Bulgaria,Revenue types or categories for which the tax administration has responsibility-Income tax-Corporate and other entities,Units,Yes,Yes,Yes,Yes,Yes,Yes
Slovenia,Administration has authority to - determine whether work is carried out by permanent staff or contractually,Units,,,,,Yes,
Greece,E-payment mandatory - CIT,Units,,,,,No,
Senegal,Formal compliance risk management strategy exists,Units,,,,,Yes,
Mexico,Revenue types or categories for which the tax administration has responsibility-Non-tax revenue,Units,Yes,Yes,Yes,Yes,Yes,Yes
Rwanda,Broad nature of structural reforms implemented - Internal redesign,Units,,,,,"Internal redesign (e.g., from ‘tax type’ to function from ‘function’ to ‘taxpayer segment’)",
Grenada,Administration has authority to - decide on promotion of existing staff,Units,,,,,No,
Malaysia,E-payment mandatory - CIT,Units,,,,,No,
Samoa,Administration has authority to - determine whether work is carried out by permanent staff or contractually,Units,,,,,Yes,
Belize,Training strategy - Formal training cycle process exists,Units,,,,,Yes,
Mauritius,Administration has authority to - determine whether work is carried out by permanent staff or contractually,Units,,,,,Yes,
Australia,Private rulings provided to taxpayers - rulings binding on the administration,Units,,,,,Yes,
Gabon,Significant structural reforms implemented,Units,,,,,Yes,
Guyana,Public rulings provided to taxpayers,Units,,,,,No,
Trinidad and Tobago,Administration has authority to - determine whether work is carried out by permanent staff or contractually,Units,,,,,Yes,
Latvia,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Bhutan,Training strategy - Specific training plan exists,Units,,,,,No,
Iceland,"Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,Yes,
Rwanda,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Portugal,Private rulings provided to taxpayers - taxpayers required to pay fees to obtain private rulings,Units,,,,,No,
Romania,Implementation and use of innovative technologies-Robotics Process Automation (RPA),Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Belgium,Interventions undertaken after return filing but before audit - Other interventions after filing but before audit,Units,,,,,No,
Bulgaria,Types of income generally subject to tax withholding at source – Rents,Units,,,,,Yes,
Hungary,"Tax arrears collection powers and their usage - Collect taxes owed via third parties (e.g. banks, employers)",Units,,,,,Frequently used power,
Israel,Administration pre-fills PIT returns or assessments,Units,Yes,Yes,Yes,Yes,Yes,Yes
Mexico,Categories of third party information used to pre-fill PIT returns or assessments-Expense information: Certain insurance premiums,Units,,,Yes,Yes,Yes,Yes
"China, P.R.: Hong Kong","Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
Mozambique,Administration pre-fills PIT returns or assessments,Units,No,No,No,No,No,No
Samoa,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
Mauritius,Availability of registration channels for taxpayers-Other,Units,Yes,Yes,Yes,Yes,Yes,Yes
Nigeria,"Implementation and use of innovative technologies-Digital identification technology (e.g. biometrics, voice identification)",Units,InPlace,InPlace,,Implementing,Implementing,Not Applicable
Aruba,Implementation and use of innovative technologies-Robotics Process Automation (RPA),Units,,,Not Applicable,,In Place,InPlace
Taiwan,Availability of registration channels for taxpayers-Other,Units,No,No,No,No,Yes,No
Iceland,Administration captures information on ‘other’ gender,Units,,,,No,Yes,No
Sweden,Indicators used to measure effectiveness of enforcement (audit) actions - Value of additional assessments raised through audit,Units,,,,,Yes,
Togo,Administration assesses capability needs - evaluation reviewed regularly,Units,,,,,Yes,
"Armenia, Republic of","Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,Yes,
Mozambique,Implementation and use of innovative technologies-Application programming interfaces(APIs),Units,InPlace,InPlace,InPlace,In Place,In Place,InPlace
Madagascar,Availability of registration channels for taxpayers-Other,Units,No,No,Yes,Yes,Yes,No
Tonga,Employers withholding taxes on behalf of salaried employees,Units,Yes,Yes,Yes,Yes,Yes,Yes
Vietnam,Educational or business support initiatives undertaken - Free tax services (including accounting and benefit information) for lower income individuals,Units,,,,,Yes,
Switzerland,Formal diversity policy exists,Units,,,,,Yes,
Nigeria,Tax intermediaries - Satisfaction surveys conducted regularly,Units,,,,,Yes,
Namibia,Features of the service approach - Social media used to distribute information,Units,,,,,Yes,
Bhutan,Training strategy exists,Units,,,,,Yes,
Montserrat,Process is independent of the adminsitration - Internal,Units,,,,,No,
Bhutan,HR strategy exists,Units,,,,,No,
Botswana,Administration has authority to - place staff within a salary range,Units,,,,,Yes,
Nauru,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Bulgaria,Process is independent of the adminsitration - Internal,Units,,,,,Yes,
Namibia,"Staff surveyed periodically on attitudes, perceptions and workplace satisfaction",Units,,,,,Yes,
Iceland,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,No,
Portugal,Types of income generally subject to tax withholding at source – Rents,Units,,,,,No,
Colombia,Other roles - Child support,Units,,,,,No,
Netherlands,Administration uses electronic compliance checks as part of returns filing process - post submission of return,Units,,,,,Yes,Yes
Brazil,"Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,Yes,
Gabon,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Nauru,Online services provided - Uploading data files onto the tax administration’s system,Units,,,,,No,
Equatorial Guinea,Administration uses service channel usage statistics to - Create new/improved services,Units,,,,,Yes,
Hungary,Tax arrears collection powers and their usage - Obtain a lien over a taxpayer's assets,Units,,,,,Frequently used power,
"Timor-Leste, Dem. Rep. of",Types of income generally subject to reporting of individual payment details – Proceeds of sales / purchase of shares,Units,,,,,Yes,
Guinea Bissau,External review mechanisms for dealing with complaints exist,Units,,,,,Yes,
France,Types of income generally subject to tax withholding at source – Proceeds of sales / purchases of real estate,Units,,,,,No,
Madagascar,Business taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,No,
Cabo Verde,"Administration has systems for importing, storing and managing third-party data - Data from the Social Security Agency",Units,,,,,No,
Montserrat,Features of the service approach - Telephone services provided in non-official languages,Units,,,,,No,
Montserrat,Features of the service approach - Special services for digitally disadvantaged taxpayers,Units,,,,,No,
"Serbia, Republic of",Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - External vendor used,Units,,,,,Yes,
Lesotho,Other roles - Motor vehicle register,Units,,,,,No,
Brazil,"Formal approach for identifying, assessing and prioritizing key compliance risks exists in relation to: Return filing",Units,,,,,Yes,
Samoa,"Formal approach for identifying, assessing and prioritizing key compliance risks exists in relation to: Return filing",Units,,,,,Yes,
Guinea Bissau,"Administration has systems for importing, storing and managing third-party data - Data from stock exchanges",Units,,,,,No,
Lao People's Democratic Republic,Online services provided - Secure communication with taxpayers - channels used - Messaging,Units,,,,,Messaging,
Lesotho,Other roles - Child support,Units,,,,,No,
Burundi,Administration conducts random audits,Units,,,,,Yes,
Cabo Verde,E-payment mandatory - CIT,Units,,,,,No,
"Timor-Leste, Dem. Rep. of","Administration has systems for importing, storing and managing third-party data - Data from the Social Security Agency",Units,,,,,No,
France,Features of the service approach - Material provided on the website in non-offical languages,Units,,,,,Yes,
Brazil,Types of income generally subject to tax withholding at source – Proceeds of sales / purchase of shares,Units,,,,,No,
Guinea Bissau,Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,No,
Montserrat,Taxpayer has the right to review decision - External,Units,,,,,Yes,
Bulgaria,"Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,Yes,
Slovak Republic,Main drivers of structural reforms implemented - Digitalization,Units,,,,,Digitalization,
Denmark,Features of the service approach - Telephone services provided in non-official languages,Units,,,,,Yes,
France,"Types of income generally subject to reporting of individual payment details – Royalties, patents",Units,,,,,Yes,
Kenya,Tax intermediaries - Satisfaction surveys conducted regularly - Results published,Units,,,,,No,
Kenya,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - External vendor used,Units,,,,,Yes,
Italy,Features of the service approach - Special services for digitally disadvantaged taxpayers,Units,,,,,Yes,
Brunei Darussalam,Administration utilizes specialist skills - Data Science,Units,,,,,No,
Madagascar,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - External vendor used,Units,,,,,No,
Denmark,Integrity strategy - Includes agreements with stakeholders,Units,,,,,Yes,
Botswana,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Kazakhstan,Administration has authority to - place staff within a salary range,Units,,,,,No,
Chile,Administration utilizes specialist skills - Data Science,Units,,,,,Have specialist positions in-house and contract skills as needed,
Lao People's Democratic Republic,Online services provided - Secure communication with taxpayers - channels used - Audio calls,Units,,,,,Audio calls,
Morocco,Administration uses electronic compliance checks as part of returns filing process - during process of completing the return,Units,,,,,No,No
Austria,HR strategy exists,Units,,,,,Yes,
Namibia,Training strategy - Specific training plan exists,Units,,,,,Yes,
Niue,"Role of the administration in tax crime investigations - Conducting investigations, under direction of other agency",Units,,,,"Conducting investigations, under direction of other agency","Conducting investigations, under direction of other agency",
"Armenia, Republic of",Process is independent of the adminsitration - Internal,Units,,,,,No,
Thailand,Features of the service approach - Special services for digitally disadvantaged taxpayers,Units,,,,,Yes,
Malawi,E-payment mandatory - PIT,Units,,,,,Yes,
"Congo, Democratic Republic of","Staff surveyed periodically on attitudes, perceptions and workplace satisfaction",Units,,,,,No,
Portugal,Types of income generally subject to reporting of individual payment details – Dividends,Units,,,,,Yes,
Guyana,"Tax arrears collection powers and their usage - Collect taxes owed via third parties (e.g. banks, employers)",Units,,,,,Infrequently used power,
Malawi,Availability of specific powers in legislation / regulation to assist in collecting tax arrears,Units,,,,,Yes,
Côte d'Ivoire,Main drivers of structural reforms implemented - Digitalization,Units,,,,,Digitalization,
Brazil,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Somewhat challenging,
Guinea,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under judicial review,Units,,,,,Power does not exist,
Austria,Staff can work from home/elsewhere regularly,Units,,,,,Yes,
Lao People's Democratic Republic,Private rulings provided to taxpayers - rulings binding on the administration,Units,,,,,Yes,
Taiwan,Educational or business support initiatives undertaken - Free tax services for new businesses,Units,,,,,No,
Mozambique,Administration utilizes specialist skills - Data Science,Units,,,,,No,
Uzbekistan,Performance management system - includes individual development plans,Units,,,,,Yes,
France,Provision of e-services - Ability to view taxpayer information from third parties,Units,,,,,No,
Guinea Bissau,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly - External vendor used,Units,,,,,No,
Kazakhstan,Administration utilizes specialist skills - Data Science,Units,,,,,No,
South Africa,Tax arrears collection powers and their usage - Withhold payments owing to a delinquent taxpayer by the government,Units,,,,,Infrequently used power,
Lao People's Democratic Republic,Administration uses service channel usage statistics to - Create new/improved services,Units,,,,,No,
France,Types of income generally subject to tax withholding at source – Interest,Units,,,,,No,
Ukraine,Educational or business support initiatives undertaken - Free tax services for new businesses,Units,,,,,No,
Cabo Verde,E-payment mandatory - PIT,Units,,,,,No,
France,Online services provided - Secure communication with taxpayers - channels used - Messaging,Units,,,,,Messaging,
Lao People's Democratic Republic,Types of income generally subject to tax withholding at source – Interest,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Process allows for systemic issues to be raised - Internal,Units,,,,,Yes,
Kenya,Process allows for systemic issues to be raised - Internal,Units,,,,,Yes,
Ukraine,Public rulings provided to taxpayers,Units,,,,,Yes,
Indonesia,"Staff surveyed periodically on attitudes, perceptions and workplace satisfaction",Units,,,,,Yes,
Malawi,Tax arrears collection powers and their usage - Formulate payment arrangements,Units,,,,,Frequently used power,
Bhutan,Staff surveyed periodically on diversity and inclusion,Units,,,,,No,
Uzbekistan,Administration has authority to - place staff within a salary range,Units,,,,,No,
Kenya,Educational or business support initiatives undertaken - Free tax services for new businesses,Units,,,,,Yes,
Equatorial Guinea,Types of income generally subject to tax withholding at source – Interest,Units,,,,,Yes,
Madagascar,Educational or business support initiatives undertaken - Free tax services for new businesses,Units,,,,,No,
Spain,Administrative sanctions for taxpayer non-disclosure - Common administrative penalty framework for non-disclosure across the major tax types,Units,,,,,Yes,
France,Types of income generally subject to reporting of individual payment details – Proceeds of sales / purchase of shares,Units,,,,,No,
"Serbia, Republic of",Staff surveyed periodically on diversity and inclusion,Units,,,,,Yes,
Nauru,Types of income generally subject to tax withholding at source – Interest,Units,,,,,Yes,
Madagascar,Types of income generally subject to tax withholding at source – Interest,Units,,,,,No,
Fiji,Indicators used to measure effectiveness of enforcement (audit) actions - Value of additional assessments raised through audit,Units,,,,,Yes,
Croatia,Categories of third party information used to pre-fill PIT returns or assessments-Income information: Pension,Units,Yes,Yes,Yes,Yes,Yes,Yes
Philippines,Administration keeps track of incoming service contacts,Units,Yes,Yes,Yes,Yes,,
Costa Rica,Specific selection criteria - Risk profiling - predictive modelling,Units,,,,,Yes,
Poland,Categories of third party information used to pre-fill PIT returns or assessments-Income information: Pension,Units,Yes,Yes,Yes,Yes,Yes,Yes
Japan,Interventions undertaken before return filing - Targeting campaigns to encourage compliance,Units,,,,,No,
Anguilla,Simplified income tax regime for small taxpayers exists,Units,,,,,No,
Croatia,Administration keeps track of incoming service contacts,Units,Yes,Yes,Yes,Yes,Yes,Yes
Belgium,Administration measures the effectiveness of any compliance interventions undertaken,Units,,,,,Yes,
Finland,Implementation and use of innovative technologies-Application programming interfaces(APIs),Units,InPlace,InPlace,InPlace,In Place,In Place,InPlace
Togo,Administration assesses capability needs - outcomes of evaluation reflected in HR strategy,Units,,,,,Yes,
Guinea,Application of administrative sanctions for taxpayer non-disclosure,Units,,,,,Yes,
Poland,Categories of third party information used to pre-fill PIT returns or assessments-Expense information: Certain insurance premiums,Units,,,,Yes,Yes,Yes
Guinea,Simplified income tax regime for small taxpayers exists,Units,Yes,Yes,Yes,,Yes,
Nigeria,Types of income generally subject to tax withholding at source – Other income,Units,,,,,Yes,
Singapore,Implementation and use of innovative technologies-Application programming interfaces(APIs),Units,InPlace,InPlace,InPlace,In Place,In Place,InPlace
Samoa,Employers withholding taxes on behalf of salaried employees,Units,Yes,Yes,Yes,Yes,Yes,Yes
Montenegro,Taxpayer has the right to review decision - External,Units,,,,,Yes,
Romania,"Implementation and use of innovative technologies-Digital identification technology (e.g. biometrics, voice identification)",Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Ghana,Administration measures the effectiveness of any compliance interventions undertaken,Units,,,,,No,
Nigeria,Implementation and use of innovative technologies-Robotics Process Automation (RPA),Units,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Implmenting
Sierra Leone,Performance management system - includes individual development plans,Units,,,,,Yes,
Kyrgyz Republic,Administration has undertaken analysis of taxpayer satisfaction with services by gender - made changes to services based on analysis,Units,,,,,"Not yet, but planned",
Niue,"Administration has systems for importing, storing and managing third-party data - Data on property ownership and sales",Units,,,,,No,
Botswana,Formal diversity policy exists,Units,,,,,No,
Botswana,Taxpayer has the right to review decision - External,Units,,,,,Yes,
Malaysia,Employers withholding taxes on behalf of salaried employees,Units,Yes,Yes,Yes,Yes,Yes,Yes
Israel,Implementation and use of innovative technologies-Application programming interfaces(APIs),Units,InPlace,InPlace,InPlace,In Place,In Place,InPlace
St. Lucia,Implementation and use of innovative technologies-Robotics Process Automation (RPA),Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Poland,Employers withholding taxes on behalf of salaried employees,Units,Yes,Yes,Yes,Yes,Yes,Yes
Sierra Leone,Simplified income tax regime for small taxpayers exists,Units,Yes,Yes,Yes,,Yes,
Chad,Administration pre-fills PIT returns or assessments,Units,No,No,No,No,No,No
Guyana,Tax arrears collection powers and their usage - Obtain a lien over a taxpayer's assets,Units,,,,,Infrequently used power,
Brazil,Taxpayer has the right to review decision - External,Units,,,,,No,
Colombia,Other roles - Motor vehicle register,Units,,,,,No,
Bhutan,Performance management system - includes individual development plans,Units,,,,,Yes,
Aruba,Availability of registration channels for taxpayers-Other,Units,,,Yes,,No,No
Poland,Administration pre-fills PIT returns or assessments,Units,Yes,Yes,Yes,Yes,Yes,Yes
"Armenia, Republic of",Taxpayer has the right to review decision - External,Units,,,,,Yes,
Bulgaria,Types of income generally subject to tax withholding at source – Proceeds of sales / purchase of shares,Units,,,,,No,
Italy,Process is independent of the adminsitration - Internal,Units,,,,,No,
Montserrat,Types of income generally subject to tax withholding at source – Proceeds of sales / purchase of shares,Units,,,,,No,
Togo,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Costa Rica,Administration captures information on ‘other’ gender,Units,,,,No,No,No
Mozambique,Employers withholding taxes on behalf of salaried employees,Units,Yes,Yes,Yes,Yes,Yes,Yes
"Armenia, Republic of",Online services provided - Secure communication with taxpayers,Units,,,,,Yes,
Kyrgyz Republic,Educational or business support initiatives undertaken - Free tax services (including accounting and benefit information) for lower income individuals,Units,,,,,Yes,
Antigua and Barbuda,Administration captures information on ‘other’ gender,Units,,,,No,No,No
Mexico,Features of the service approach - Social media used to distribute information,Units,,,,,Yes,
Albania,"Implementation and use of innovative technologies-Digital identification technology (e.g. biometrics, voice identification)",Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Brazil,Individual taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
