JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Bangladesh,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,298387,81253,D,,D,0
India,Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,D,D,23055,16800
Vanuatu,Percentage of payments received electronically-By number of payments,Units,,,0,D,D,D
Mauritania,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,,,,,28,D
Taiwan,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,D,D,266811,288271
Chad,Staff strength levels -Departures in FY,Units,D,10,200,3,D,D
India,Percentage of payments received electronically-By number of payments,Units,D,D,D,D,100,100
"Azerbaijan, Republic of",On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,D,D
Vietnam,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,4365,3333,D,748,972,531
Montserrat,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,0,0,0,0,D,
India,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,D,D,D,D,3825,3269
Montserrat,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,0,0,0,D,D,
Senegal,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,12843,4733,1451,26854
"Azerbaijan, Republic of",Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,0,1833,D,2369
Cook Islands,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,403,368,D,120,167,272
Vietnam,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,D,D,0,0,0
Mauritius,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,50184,54376,60152,51071
Senegal,Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,39109,86541,23127,25432,28106,D
Papua New Guinea,Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,255,208,211,235
"Congo, Democratic Republic of",Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,2281,1639,173,D,494,D
India,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,D,D,D,0,0
Senegal,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,D,D,162,197,D,D
Antigua and Barbuda,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,87,120,48,38,D,176
Senegal,Tax cases under internal review procedures-No. of cases initiated in FY,Units,76,75,91,D,D,D
Antigua and Barbuda,Tax cases under internal review procedures-No. of cases initiated in FY,Units,21,9,D,D,D,D
Burkina Faso,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,0,15,D,D
Burkina Faso,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,0,0,D,D
"Congo, Republic of",Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,8,8,33,,13,D
Iceland,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,D,0,0
Vanuatu,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,,,1,D,1889,
Lesotho,FTEs involved with both tax and customs administration,Units,D,D,636,,263,263
Antigua and Barbuda,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,7,7,7,3,D,D
Pakistan,No. of incoming service contacts by channel-Mail / post,Units,0,0,,,2000000,D
Vanuatu,Percentage of payments received electronically-By value of payments,Units,,,0,D,D,D
Papua New Guinea,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,242,D,D,D
Vietnam,Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,D,4617,D,3398
Honduras,FTEs by function of the tax administration-Other functions,Units,527,535,534,537,414,D
"Korea, Republic of","No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,155817,D,253407
Bulgaria,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,D,D,267158,267405
Mozambique,On-time return filing-Value added tax-No. of returns expected,Units,D,D,D,56534,D,D
"Azerbaijan, Republic of",No. of incoming service contacts by channel-Mail / post,Units,D,D,0,D,D,2775
Mauritania,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,,,,,219,D
Saudi Arabia,Tax cases under internal review procedures-No. of cases initiated in FY,Units,1068,11517,18620,D,20308,17049
Zimbabwe,FTEs by function of the tax administration-Human resource management,Units,,,,,D,6
Zimbabwe,FTEs by function of the tax administration-Other functions,Units,1080,1080,2542,D,D,308
"Kosovo, Republic of",No. of incoming service contacts by channel-Mail / post,Units,,,0,D,D,D
Papua New Guinea,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,D,D,11,38,9,14
"Gambia, The",FTEs by function of the tax administration-Other functions,Units,D,D,,D,D,73
India,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,D,51959,63178,70559
Senegal,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,79042,86541,21268,23334,25136,D
India,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,D,12493,14057,17004
